,id,name,latitude,longitude,number_of_bikes
78,15189ae9afda0ad927bce260b5aa0ccc,Eglinton Ave W / Gilbert Ave,43.69254716689966,-79.46332759272917,19
79,15b272ca422dbbafeb002f3a84d15436,St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,20
80,15e76731635f7e3ac4484228bc8f60ad,Front St E / Cherry St,43.652686,-79.358395,15
81,15fc89637ebe1c3e63fbe123d70819ee,Jarvis St / Isabella St,43.668991,-79.379385,23
82,161ab27f7f32ba3232c688d388731574,Jane St / Yorkwoods Gt,43.7503016975738,-79.51577557434386,15
83,1630e350724cc062ba0e77e103728eac,Bay St / College St (East Side),43.660439,-79.385525,31
84,165388972f43146138b4f5180eead75a,Richmond St W / York St,43.650745,-79.383633,17
85,16658c808dda522274b99346e8f815fb,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,19
86,179e575503c062aa31a47c6f67d492da,Bay St / Bloor St W (West Side),43.669244,-79.3894,19
87,17b0d8ca1c69eca14d3173c15fa144e4,Queen St W / Spadina Ave,43.649147,-79.395504,11
88,17fadbdc5848036c8485099bbf517294,Davenport Rd / Avenue Rd,43.674991,-79.396273,11
89,1829fb7bd0a98ee2fc523f35ea417baf,King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,12
90,189995604737e19f1b76cd3a3ff3aff9,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,23
91,18ea490ab3ca4d10e2927308416edbef,Edward St / Yonge St,43.656729,-79.382736,23
92,1918e84daa8c062201c45e029651d7c4,16 Riverview Gardens ,43.64883712159794,-79.48675294250663,30
93,195c1a917f697ab4b4fb52431e921423,Queen's Park / Bloor St W,43.668456,-79.393899,23
94,196146f920152f5d70175a14f0e88184,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,12
95,1993b48e5142184f347f9d517f120d03,Shaw St / King St W,43.6412561641921,-79.41502994047545,15
96,19997314e5dc85c591c39255f1081992,Havelock St / Dewson St,43.6554793,-79.4302462,15
97,199a939521be6324c802d8d50ebeb4a8,Kilgour Rd / Rumsey Rd,43.718039,-79.371914,17
98,1a0670e4e55fe4259c105c6803651334,Spadina Ave / Blue Jays Way,43.641705,-79.393295,30
99,1a68bd75d5159c7cc33367b97ee8ab8e,Glendonwynne Rd / Bloor St W,43.65182,-79.47421,19
100,1ac23b3d20ad003acf2f9b1f8a2f2f0b,Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,17
101,1acb494034578036df5811294b853b12,2700 Eglinton Ave W,43.69074600637147,-79.47820143344333,43
102,1b853c3b515bbb20d04729c8059f08ee,Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,15
103,1c0219e93091b1027eda482f4a31ded6,75 Holly St,43.7063279,-79.3962499,23
104,1c3fe7eb55ecb4519e422313552760f9,Starspray Blvd / Lawrence Ave E,43.788525214554085,-79.1231844760227,19
105,1c756a37352a017e82b4f3d678d00590,The Pond Rd / Shoreham Dr,43.772445,-79.511912,14
106,1c83c4053d34442fe21bd7a52bdd012e,Adelaide St W / Yonge St,43.65038002325664,-79.3787277120385,19
107,1cc9575bb686fa4a3eb7f4afbdea5073,Lynn Williams St / East Liberty St,43.638925,-79.4168659,15
108,1d35b8fd44d73aabbb39f6e142ee3e7e,King St E / Berkeley St,43.651885,-79.3649,31
109,1d5a56319adf364532940f86be71ce4b,Royal York Rd / Mimico Ave,43.612063,-79.496573,20
110,1d827726987d707bbcd5562e02416b0e,King St W / Charlotte St,43.645572,-79.39399,22
111,1dd10befe3fa0d7d7ebc657b9a01942b,Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,19
112,1e01daecd9b52d95d82346c5c81d2ba0,Harbord St / Clinton St,43.660414,-79.415646,15
113,1e5bc0c0a2797265956ee948d6dcd49d,Jameson Ave / Queen St W,43.63985,-79.43703,26
114,1e83030210b6666f3fe29bade92f1181,High Park - Grenadier Cafe,43.645599,-79.4657123,11
115,1e9a239336b30d755305f5041c582f05,High Park Amphitheatre,43.646251,-79.46472,23
116,1f5bb4fff3139fff3f927f1a4980dc1e,Gothic Ave / Quebec Ave,43.65389,-79.4675,19
117,1fe2e0ad1678ffaf965b10e03a08aaf2,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,16
118,1fe5a5b385f60b3d539aea33f1b5ebb1,Grantbrook St / Finch Hydro Corridor Trail,43.780468305361154,-79.43280415488479,15
119,1fe6812cc638f0e5080113daa9a7d77a,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,18
120,2037c7d47c8b7babcd2c4a058a66a6c8,College St / Borden St,43.6571,-79.4056,11
121,20671fface2f37dd6d2d4263534c29e5,Coxwell Ave / Plains Rd,43.69595,-79.328535,19
122,213541646a587196b1acb812a3d0a8ad,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,15
123,216ff915cee84c00ebe3636ee1bc40bc,Glen Long Community Centre,43.70820992643782,-79.45627808717194,15
124,21982c325ac8d5dcc146b350aa0e8298,Taddle Creek Park,43.66986,-79.398443,15
125,22cedcbf1b4580a7995f4e15843bd2ef,Bloor St E / Huntley St - SMART,43.671535,-79.379173,20
126,236729e04a979069b035a3070e608f6e,Gerrard St E / Leslie St,43.669813,-79.3335,23
127,237e73b6b68d9b4f9ce8dded10a8863b,Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,19
128,2383fa5f5c21140fe68f8b6dda91a1b1,Maud St / Adelaide St W - SMART,43.6460145694434,-79.39960497726345,16
129,238f97722fa9fb7a59373178433ee0bb,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,19
130,2488c941ca12639d2852ad9cbba92626,High Park - West Rd,43.651922,-79.465693,23
131,24de23035684fccb1f588c7161489075,King St W / Jordan St,43.648928,-79.378623,11
132,254006acb0d0299f535d3723f656ae67,Morningside Park (Highland Creek Trail),43.779353,-79.193023,23
133,25609edbdf8f13143b34fb67e9205c65,Ellesmere Rd / Markham Rd,43.77682938751077,-79.2305003612381,15
134,2567d3e27e558c6e6ee94c289c838111,King St W / Cowan Ave - SMART,43.637922,-79.431734,16
135,25beb3f096bca69d14c865774e03b0e8,Trethewey Dr / Black Creek Dr,43.695498400279796,-79.48809394482672,15
136,25ed68a12f51be0066d864c77e780c82,Adelaide St W / Bay St,43.650152,-79.379856,23
137,263344f0b04caa421826eceaadd15697,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,34
